Name,Address,City,State,ZIP_Code,URL,Phone
HFH of Worcester Co. Inc. ReStore,9026 Worcester Hwy,Berlin,US-MD,21811,habitatworcester.org/restore,(410) 208-4440
"Choptank, Inc.,HFH ReStore",8610 Commerce Dr,Easton,US-MD,21601,www.habitatchoptank.org/restore-2-2,(410) 820-6186
HFH Cape May County ReStore,Restore,Cape May Court House,US-NJ,08210,www.habitatcapemaycounty.org,(609) 465-1626
"Broward ReStore, HFH of",505 W Broward Blvd,Fort Lauderdale,US-FL,33312,www.habitatbroward.org/restore,(954) 763-7771
"South Palm Beach Co ReStore- Boca Raton, HFH of",272 S Dixie Highway,Boca Raton,US-FL,33432,www.habitatsouthpalmbeach.org,(561) 362-7284
"South Palm Beach County ReStore - Delray, HFH of",1900 N. Federal Highway,Delray Beach,US-FL,33483,bocadelrayboynton.habitatrestores.org,(561) 455-4441
"Upper Keys ReStore, HFH of the",98970 Overseas Highway,Key Largo,US-FL,33037,habitatupperkeys.org,(305) 453-7855
"Palm Beach Co ReStore- Greenacres, HFH of",4639 Lake Worth Rd,Greenacres,US-FL,33463,www.habitatpbc.org/stores,(561) 202-1630
"Palm Beach Co ReStore- Jupiter, HFH of",1635 N Old Dixie Highway,Jupiter,US-FL,33469,www.habitatpbc.org/stores,(561) 401-4087
Habitat Home Store of Collier County,11127 Tamiami Trl E,Naples,US-FL,34113,www.habitatstores.org,(239) 732-1672
"Martin County ReStore, HFH of",2555 SE Bonita St,Stuart,US-FL,34997,www.habitatmartin.org,(772) 223-8991
Habitat ReStore of Collier County,5430 Yahl St,Naples,US-FL,34109,www.habitatstores.org,(239) 260-5256
"Martin County ReStore North, HFH of",2090 NW Federal Hwy,Stuart,US-FL,34994,www.habitatmartin.org,(772) 223-8991
Alachua HFH ReStore,2317 SW 13th St,Gainesville,US-FL,32608-2006,www.alachuahabitat.org/restore,(352) 373-5728
Clay County HFH ReStore,1717 Blanding Blvd,Middleburg,US-FL,32068,www.clayhabitat.org,(904) 282-7590
"Seminole/ Apopka ReStore- Sanford, HFH of",1100 Americana Blvd,Sanford,US-FL,32773-8027,www.HabitatSeminoleApopka.org,(407) 215-2000
West Orange HFH ReStore,13369 W. Colonial Drive,Winter Garden,US-FL,34787,www.westorangehabitat.org/restore,(407) 905-0406
West Volusia HFH ReStore,604 S Sping Gdn Ave,DeLand,US-FL,32720,www.wvhabitat.org/contact,(386) 734-7268
Southeast Volusia HFH ReStore- New Smyrna Beach,722 S Dixie Fwy,New Smyrna Beach,US-FL,32168,www.habitatsev.org/restore,(386) 428-5010
Lake-Sumter FL ReStore-Eustis; HFH,710 S. Bay St.,Eustis,US-FL,32726,www.habitatls.org,(352) 483-0410
Lake-Sumter FL ReStore-Groveland; HFH,205 Woodfield Court,Groveland,US-FL,34736,www.habitatls.org,(352) 429-9052
Halifax HFH ReStore,695 Mason Ave,Daytona Beach,US-FL,32114,www.habitatgvc.org/restore,(386) 226-2006
Lake-Sumter FL ReStore-Leesburg; HFH,200 N Lone Oak Dr,Leesburg,US-FL,34748,www.habitatls.org,(352) 728-6366
HFH of East Polk Co ReStore - Dundee,27985 US Hwy 27,Dundee,US-FL,33838,habitateastpolk.org/restore,(863) 353-5967
Lake-Sumter FL ReStore-Wildwood; HFH,6761 CR 148,Wildwood,US-FL,34785,www.habitatls.org,(352) 330-0881
Flagler HFH ReStore,2 W Moody Blvd,Bunnell,US-FL,32110,www.flaglerhabitat.com,(386) 437-9855
Big Bend HFH ReStore,387-C Marpan Ln,Tallahassee,US-FL,32310,bigbendhabitat.org,(850) 544-6438
"East Polk Co ReStore, HFH of",3550 Recker Highway,Winter Haven,US-FL,33880,www.habitateastpolk.org,(863) 292-2256
Lakeland HFH ReStore,1317 George Jenkins Blvd.,Lakeland,US-FL,33815,www.habitatoflakeland.org,(863) 688-4660
"Lee & Hendry Co ReStore- N. Fort Myers, HFH of",31 Willis Road,North Fort Myers,US-FL,33903,restorelee.org,(239) 652-1699
"Lee & Hendry Co. ReStore- S. Fort Myers, HFH of",16133 S Tamiami Trail,Fort Myers,US-FL,33908,restorelee.org,(239) 652-1660
"Lee & Hendry Co ReStore- McGregor Blvd, HFH of",15271 McGregor Blvd,Fort Myers,US-FL,33908,restorelee.org,(239) 202-8483
"Lee & Hendry Co ReStore- Bonita Springs, HFH of",9080 Bonita Beach Road,Bonita Springs,US-FL,34135,restorelee.org,(239) 949-4409
Charlotte County HFH ReSale Store- Punta Gorda,1750 Manzana Ave,Punta Gorda,US-FL,33950,www.charlottecountyhfh.org/resalestores.html,(941) 205-7467
Charlotte County HFH ReSale Store- Murdock,2440 Tamiami Trail,Port Charlotte,US-FL,33952,charlottecountyhfh.org/store,(941) 391-6562
Arcadia-DeSoto County HFH ReStore,114 N Polk Ave,Arcadia,US-FL,34266,www.desotohabitat.com,(863) 494-6456
Charlotte County HFH ReSale Store- Port Charlotte,1354 El Jobean Rd,Port Charlotte,US-FL,33948,www.charlottecountyhfh.org/resalestores.html,(941) 206-2606
Charlotte County HFH ReSale Store- Englewood,3949 S Access Rd,Englewood,US-FL,34224,www.charlottecountyhfh.org/resalestores.html,(941) 681-3600
"Walton County, FL, ReStore, HFH of",110 Highway 393 S,Santa Rosa Beach,US-FL,32459,www.waltoncountyhabitat.org/restore.htm,(850) 660-6004
Bay County ReStore,1515 E. 11th St.,Panama City,US-FL,32401,habitatbay.org/restore,(850) 215-2289
"Okaloosa County ReStore, HFH in",39 S.E. Eglin Parkway,Ft Walton Beach,US-FL,32548,www.restorefwb.org,(850) 685-0686
"Camden County ReStore, HFH of",302 S Lee St,Kingsland,US-GA,31548,www.hfhcamden.org/restore,(912) 729-3633
St. Lucie HFH ReStore 2,10185 South Federal Highway,Port Saint Lucie,US-FL,34952,www.stluciehabitat.org,(772) 249-4023
Manatee County HFH ReStore,5108 15th St E,Bradenton,US-FL,34203,https://manateehabitatrestore.com,(941) 355-7082
"Sarasota ReStore 1, HFH",2095 17th St,Sarasota,US-FL,34234,habitatsrq.org,(941) 363-0777
Hillsborough Co Florida ReStore - Brandon,501 W Robertson St,Brandon,US-FL,33511,www.habitathillsborough.org/restore,(813) 337-7898
"Hillsborough Co Florida ReStore, HFH of",3738 E Hillsborough Ave,Tampa,US-FL,33610,https://www.habitathillsborough.org,(813) 237-1978
West Pasco HFH ReStore,4131 Madison St,New Port Richey,US-FL,34652,www.wphabitat.com,(727) 843-8786
"Hernando County ReStore, HFH of",19450 Cortez Blvd,Brooksville,US-FL,34601,www.habitathernando.org,(352) 754-1255
Hillsborough Co Florida ReStore- Silvermill,11236 West Hillsborough Ave,Tampa,US-FL,33635,www.habitathillsborough.org,(813) 580-7236
"Citrus County ReStore- Inverness, HFH of",3703 E Gulf to Lake Hwy,Inverness,US-FL,34453,www.habitatcc.org/shop.php,(352) 341-1800
"Marion Co ReStore 2, HFH of",10800 SW 91st Ave,Ocala,US-FL,34481,www.ocalarestore.org,(352) 401-0075
"Jacksonville ReStore 2, HFH of",6260 103rd St.,Jacksonville,US-FL,32210,www.habijax.org/restore,(904) 575-4348
"Citrus County ReStore-Crystal River, HFH of",7800 W. Gulf to Lake Highway,Crystal River,US-FL,34429,www.habitatcc.org/shop.php,(352) 564-2300
Valdosta-Lowndes Co. ReStore HFH,2010 E Cypress,Valdosta,US-GA,31601,www.valdostahabitat.org/restore.htm,(229) 247-8513
"Bulloch County ReStore, HFH of",201 Johnson St,Statesboro,US-GA,30458,www.habitatbulloch.org,(912) 489-2076
"Effingham County ReStore, HFH of",3605 Highway 21 S,Rincon,US-GA,31326,restore.habitatec.org,(912) 826-6433
Coastal Empire HFH ReStore,"701 MLK, Jr. Blvd",Savannah,US-GA,31405,www.habitatsavannah.org,(912) 661-3137
Augusta/CSRA HFH ReStore,1004 Walton Way,Augusta,US-GA,30901,www.augustahabitat.org/restore,(706) 364-7637
Hilton Head Regional HFH ReStore-Bluffton,18 Plantation Park Dr.,Bluufton,US-SC,29910,habitathhi.org/restore,(843) 757-9995
Augusta/CSRA HFH ReStore West,3112 Washington Road,Augusta,US-GA,30907,www.augustahabitat.org/restore,(706) 426-8619
LowCountry HFH ReStore,612 Parris Is Gtwy,Beaufort,US-SC,29906,www.lowcountryhabitat.org/restore,(843) 525-0055
Aiken County HFH ReStore,1026 Park Ave SE,Aiken,US-SC,29801,www.HabitatAiken.org/html/inkind.cfm,(803) 642-0530
Edisto HFH ReStore,260 John C Calhoun Dr,Orangeburg,US-SC,29115,www.edistohabitatforhumanity.org,(803) 539-2242
Abbeville/McCormick Co HFH ReStore,205 S. Main St,McCormick,US-SC,29835,web.wctel.net/~habitathomes,(864) 852-9094
New Horizons Habitat ReStore,723 Millard Fuller Blvd.,Americus,US-GA,31709,www.newhorizonshabitat.org/donation---restore-donations.html,(229) 931-9899
Greenwood Area HFH ReStore,337 Maxwell Avenue,Greenwood,US-SC,29646,greenwoodhabitat.org/restore/restore,(864) 450-9146
Greene County HFH ReStore,1373 Willow Run Rd,Greensboro,US-GA,30642,www.habitatgreene.org,(706) 453-1718
"Anderson ReStore, HFH of",210 S Murray Ave,Anderson,US-SC,29624,www.habitatanderson.org/restore,(864) 375-1177
"Glynn County ReStore, HFH of",1919 Glynn Avenue,Brunswick,US-GA,31520,www.habitatglynncounty.org/ReStore,(912) 265-7455
Lawrenceville Habitat Restore,2100 Riverside Pkwy Ste 123A,Lawrenceville,US-GA,30043,www.suburbanatlantarestores.org,(770) 415-1590
"Hall County ReStore, HFH of",2380 Murphy Boulevard,Gainesville,US-GA,30504,https://habitathallcounty.org/the-restore,(678) 450-5998
"Conyers-Rockdale ReStore, HFH of",1117 West Ave,Conyers,US-GA,30012,www.habitatrockdale.net,(770) 785-7675
"Northeast Georgia ReStore, HFH of",1085 Rocky Br Rd,Clarkesville,US-GA,30523,www.habitatnega.org/restore,(706) 754-5313
Athens Area HFH ReStore- East,532 Barber St,Athens,US-GA,30601,www.AthensHabitat.com/Stores,(706) 354-0936
Athens Area HFH ReStore- West,4125 Atlanta Highway,Athens,US-GA,30622,https://www.athenshabitat.com/stores,(706) 354-0936
Central South Carolina HFH ReStore,2814 Augusta Road,Columbia,US-SC,29170,www.midlandsrestore.org,(803) 936-0088
Sea  Island HFH ReStore,3304 Maybank Highway,Johns Island,US-SC,29455,www.seaislandhabitat.org/index.php/restore/restore,(843) 559-4009
Dorchester HFH ReStore,101 Greyback Rd,Summerville,US-SC,29483,www.dorchesterhabitat.org/restore,(843) 871-1159
"Fannin & Gilmer Co ReStore, HFH of",4187 E First St,Blue Ridge,US-GA,30513,www.hfhfanningilmer.org,(706) 632-6337
Charleston HFH ReStore,731 Meeting St,Charleston,US-SC,29403,www.charlestonhabitat.org/restore,(843) 579-0777
Macon Area HFH ReStore,690 Holt Ave,Macon,US-GA,31204,www.maconhabitat.org/restore,(478) 752-5859
Franklin County HFH ReStore,11927 Augusta Rd,Lavonia,US-GA,30553,local.habitat.org/fchabitat,(706) 356-5479
East Cooper HFH ReStore,469C Long Pt Rd,Mount Pleasant,US-SC,29464,www.thehabitatrestore.com,(843) 849-8002
"West Hawaii ReStore, HFH - Waimea",65-1259 Kawaihae Rd.,Waimea,US-HI,96743,www.habitathawaiiisland.org,(808) 885-9091
"Honolulu ReStore,HFH",922 Austin Lane #C-1,Honolulu,US-HI,96817,www.honoluluhabitat.org/restore,(808) 380-8617
"Leeward Oahu ReStore, HFH",91-291 Kalaeloa Blvd A 6-8,Kapolei,US-HI,96707,www.leewardhabitat.org,(808) 6828411
"Maui ReStore, HFH",1162 Lower Main Street,Wailuku,US-HI,96793,www.habitat-maui.org/restore,(808) 242-1140
Hale Aloha O Hilo HFH ReStore,863 Iolani Ave,Hilo,US-HI,96720,www.habitathawaiiisland.org,(808) 935-6677
"Fairfield Area HFH ReStore, Greater",1903 Business Highway 34,Fairfield,US-IA,52556,www.fairfieldhabitat.org,(641) 209-9450
Iowa Valley HFH ReStore,2401 Scott Blvd SE,Iowa City,US-IA,52240,www.iowacityrestore.com,(319) 338-5687
Cedar Valley HFH Restore,350 6th Ave SE,Cedar Rapids,US-IA,52401,www.cvhabitat.org/restore,(319) 294-1500
"Des Moines HFH ReStore, Greater",2200 E Euclid,Des Moines,US-IA,50317,www.gdmhabitat.org/restore,(515) 309-0224
"Quad Cities ReStore, HFH",3629 Mississippi Ave,Davenport,US-IA,52807,www.restoreqc.org,(563) 391-4949
Urbandale ReStore,4033 NW Urbandale Dr,Urbandale,US-IA,50322,https://www.gdmhabitat.org/restore,(515) 309-0224
Iowa Heartland HFH Restore,4107 Hammond Ave,Waterloo,US-IA,50701,www.webuildhabitat.org/restore/restore,(319) 883-3331
"Peoria Area ReStore- University, HFH Greater",4912 N University St,Peoria,US-IL,61614,https://www.habitatpeoria.org/restore,(309) 676-6299
"North Central Iowa ReStore, HFH of",517 1st St NW,Mason City,US-IA,50401,www.habitatnci.org/index.php/the-restore,(641) 423-1688
Siouxland HFH Restore,1150 TriView Ave,Sioux City,US-IA,51103,www.siouxlandhabitat.org,(712) 224-6133
"Dane County ReStore West, HFH of",5906 Odana Rd,Madison,US-WI,53719,www.restoredane.org,(608) 442-9919
La Crosse Area HFH ReStore,3181 Berlin Drive,La Crosse,US-WI,54601,www.habitatlacrosse.org/restore,(608) 785-2375
"Winona Restore, HFH-",900 W 3rd St,Winona,US-MN,55987,habitatwinona.org,(507) 474-6075
Rochester Area HFH ReStore,3034 40th Avenue NW,Rochester,US-MN,55901,www.rochesterrestore.org,(507) 258-5505
"Adams County ReStore, HFH of",N 3696 Highway 12/16,Mauston,US-WI,53948,www.maustonrestore.com,(608) 847-2000
"St. Joseph ReStore, HFH",3131 Frederick Ave,Saint Joseph,US-MO,64506,www.habitatstjoe.org,(816) 279-5607
HFH of Kansas City Restore- North Kansas City,8516 North Oak Traffic way,Kansas City,US-MO,64155,www.habitatkc.org/restorekc,(816) 231-6889
"Truman Heritage ReStore, HFH",505 North Dodgion Ave,Independence,US-MO,64050,trumanrestore.org,(816) 886-7374
HFH of Kansas City Restore-Deramus,4701 Deramus Ave,Kansas City,US-MO,64120,www.habitatkc.org/restorekc,(816) 231-6889
Truman Heritage HFH ReStore- Blue Springs,1219 NW 7 Highway,Blue Springs,US-MO,64014,www.trumanrestore.org,(816) 886-7374
Rockford Area HFH ReStore,7141 Harrison Ave,Rockford,US-IL,61112,www.rockfordhabitat.org/restore,(815) 713-3184
"Dane County ReStore East, HFH of",4207 Monona Dr,Madison,US-WI,53716,www.restoredane.org,(608) 661-2813
HFH of McHenry County ReStore,133 S. Eastwood Dr.,Woodstock,US-IL,60098,www.habitatmchenry.org/restore-2,(815) 334-0500
"Omaha ReStore- West, HFH of",10910 Emmet St,Omaha,US-NE,68164,www.OmahaHabitatReStore.org,(402) 934-1033
"Omaha ReStore- South, HFH of",1003 S 24th St,Omaha,US-NE,68108,www.omahahabitatrestore.org,(402) 934-1033
"South Central Minnesota ReStore, HFH of",1730 Bassett Dr.,Mankato,US-MN,56001,mankatorestore.org,(507) 388-6682
Chippewa Valley ReStore HFH,145 N. Clairemont Avenue,Eau Claire,US-WI,54703,www.cvh4h.org,(715) 895-8177
Twin Cities HFH ReStore - Minneapolis,2700 Minnehaha Av S,Minneapolis,US-MN,55406,restore.tchabitat.org,(612) 588-3820
HFH of Kansas City Restore-Johnson County,8722 Santa Fe Dr.,Overland Park,US-KS,66212,www.habitatkc.org/restorekc,(816) 231-6889
Gateway HFH ReStore,2400 Garrett Way,Pocatello,US-ID,83201,www.gatewayhabitat.org/restore.html,(208) 233-9081
"Idaho Falls Area ReStore, HFH",1954 N. Yellowstone Hwy.,Idaho Falls,US-ID,83401,www.idahofallshabitat.org/restore,(208) 552-0491
"Magic Valley Restore, HFH of the",639 Eastland Dr South,Twin Falls,US-ID,83301,www.habitatmagicvalley.org/ReStore,(208) 735-1233
"Teton Area ReStore, HFH of the Greater",850 W Broadway Suite D,Jackson,US-WY,83001,www.tetonhabitat.org/restore,(307) 734-0389
Cache Valley Habitat ReStore,46 1/2 east 200 South,Logan,US-UT,84321,www.cachevalleyhabitatrestore.org,(435) 752-2786
"Weber and Davis Counties ReStore, HFH of",3111 Wall Ave,Ogden,US-UT,84404,https://weberrestore.org,(801) 393-3287
BVHFH ReStore Collister Center,4716 W State Street,Boise,US-ID,83703,www.hfhboise.org,(208) 331-6653
Boise Valley HFH Restore,10537 W Overland Rd,Boise,US-ID,83709,www.hfhboise.org/restore,(208) 375-5256
Lewiston-Clarkston Partners HFH ReStore,1633 G St,Lewiston,US-ID,83501,www.lewisclarkhabitat.org/store,(208) 743-1300
Palouse HFH ReStore,304 N Main St,Moscow,US-ID,83843,https://palousehabitat.org/shop,(208) 882-5246
"North Idaho ReStore, HFH",176 W Wyoming Ave,Hayden,US-ID,83835,www.northidahohabitat.org/restore,(208) 762-4352
"Spokane Store, HFH of",1805 East Trent Ave,Spokane,US-WA,99202,www.habitat-spokane.org,(509) 535-9517
"Ravalli Co. ReStore, HFH of",131 Old Corvallis Rd.,Hamilton,US-MT,59840,ravallihabitat.org/resale-store,(406) 375-1926
Canyon County HFH ReStore,1404 1st Street South,Nampa,US-ID,83651,canyonhabitat.org,(208) 463-0864
Grande Ronde Valley HFH ReStore,2304 E R Ave,La Grande,US-OR,97850,www.unioncounty-habitat.org,(541) 963-2414
Tri-County Partners HFH Store,309 Wellsian Way,Richland,US-WA,99352,www.habitatbuilds.com,(509) 943-1330
"Gallatin Valley ReStore, HFH of",230 Arden Dr,Belgrade,US-MT,59714,www.habitatbozeman.org,(406) 388-2851
Mountain Spirit HFH ReStore,509 Gateway Dr,Powell,US-WY,82435,www.mshfh.org,(307) 254-7004
Mountain Spirit HFH ReStore- 2,265 N. Bent St,Powell,US-WY,82435,www.mshfh.org,(307) 271-1879
Helena Area HFH Restore,1531 National Ave,Helena,US-MT,59601,www.helenahabitat.org/restore,(406) 457-0444
"Mid-Yellowstone Valley ReStore, HFH",685 King Park Dr,Billings,US-MT,59102,www.billingshabitat.org/restore,(406) 256-0409
Jefferson County HFH ReStore,84 SW K St,Madras,US-OR,97741,www.jeffcohabitat.org,(541) 475-9722
Idaho Panhandle HFH Restore,1519 Baldy Park Road,Sandpoint,US-ID,83864,www.iphfh.org,(208) 265-5313
"Colville Valley Partners Store, HFH-",480 N Main St,Colville,US-WA,99114,www.habitatcolville.org,(509) 684-2319
"Flathead Valley ReStore, HFH of",2533 US Highway 93 South,Kalispell,US-MT,59901,www.habitatflathead.org/restore.html,(406) 752-2905
Lake Chelan Valley HFH Store,518 E Woodin Ave,Chelan,US-WA,98816,chelanhabitat.com/store_293.html,(509) 682-7088
Upper Columbia Basin HFH Store,223 2nd Ave SE,Quincy,US-WA,98848,local.habitat.org/ucbhfh,(509) 787-2144
Bend Area HFH ReStore,244 NE Thurston,Bend,US-OR,97701,www.restorebend.org,(541) 312-6709
McLean County Restore,1402 W Washington St,Bloomington,US-IL,61701-4714,www.bnrestore.org,(309) 454-6047
Lewis & Clark HFH ReStore,1950 Vandalia St.,Collinsville,US-IL,62234,lcrestore.org,(618) 223-1711
DuPage HFH ReStore- Addison,869 S Rohlwing Rd (Rte 53),Addison,US-IL,60101,www.dupagerestore.org,(630) 517-2080
"Chicago ReStore, HFH",6040 N Pulaski,Chicago,US-IL,60646,https://www.habitatchicago.org/restore,(773) 539-6040
DuPage HFH ReStore- Aurora,4100 Fox Vly Ctr Dr,Aurora,US-IL,60504,www.foxvalleyrestore.org,(630) 585-5508
"Northern Fox Valley ReStore, HFH of",800 N State St,Elgin,US-IL,60123,www.restoreelgin.org,(847) 742-9905
Will County HFH ReStore,1395 Larkin Avenue,Joliet,US-IL,60435,www.restorejoliet.org,(815) 714-7100
McHenry ReStore,903 Front St,McHenry,US-IL,60050,www.habitatmchenry.org/restore-2,(815) 331-8153
"Henderson ReStore, HFH of",1030 Third Street,Henderson,US-KY,42420,www.hendersonhabitat.org,(270) 826-0015
"Evansville, HFH of - ReStore",1301 N. Royal Ave,Evansville,US-IN,47715,www.evansvillerestore.org,(812) 602-3460
"Warrick County ReStore, HFH of",10622 Telephone Rd,Chandler,US-IN,47610,www.warrickhabitat.org,(812) 858-3707
Coles County HFH ReStore,520 W Lincoln Ave,Charleston,US-IL,61920,www.colescountyhabitat.net/restore.html,(217) 348-7066
"Dubois County ReStore, HFH of",4232 S. 170 E.,Huntingburg,US-IN,47542,www.duboishabitat.org/restore.html,(812) 482-5909
"Pennyrile Region, Inc. ReStore, HFH",43 S Daves St,Madisonville,US-KY,42431,www.habitatforhumanityofhopkinscounty.org/restore,(270) 825-1565
"Moultrie County ReStore, HFH",401 S Hamilton,Sullivan,US-IL,61951,www.habitatmoultrieco.org,(217) 728-8700
Wabash Valley HFH ReStore,1831 Wabash Ave,Terre Haute,US-IN,47807,www.wvh4h.org,(812) 232-9200
"Monroe County ReStore, HFH of",850 S Auto Mall Rd,Bloomington,US-IN,47401,www.monroecountyhabitat.org/restore,(812) 331-2660
"Danville ReStore,HFH of",422 N Vermilion S,Danville,US-IL,61832,www.danvillerestore.org,(217) 442-0004
"Champaign County ReStore, HFH of",119 E University Ave,Champaign,US-IL,61824,www.cuhabitat.org/restore,(217) 819-5118
Decatur Area HFH ReStore,932 E Wood St.,Decatur,US-IL,62521,www.decaturhabitat.org,(217) 330-5870
Indianapolis ReStore - Avon,1099 N Avon Ave,Avon,US-IN,46123,www.indyrestore.com,(317) 707-7529
"Lafayette ReStore, HFH of",3815 Fortune Dr,Lafayette,US-IN,47905,www.lafayettehabitat.org,(765) 423-2585
"Peoria Area ReStore  East Peoria, HFH Greater",110 Carver Lane,East Peoria,US-IL,61611,www.habitatpeoria.org/restore.html,(309) 285-8078
"Chicago South Suburbs ReStore, HFH",180 W Joe Orr Rd,Chicago Heights,US-IL,60411,gohabitatrestore.com.,(708) 755-1840
"Northwest Indiana ReStore, HFH of",6114 W. Ridge Road,Gary,US-IN,46408,www.nwirestore.org,(219) 923-7265
"Northwest Indiana ReStore, HFH of - Merrillville",3823 E Lincoln Hwy,Merrillville,US-IN,46410,www.nwiRestore.org,(219) 940-3216
"St. Charles Co ReStore, HFH of",186 Mid Rivers Center,Saint Charles,US-MO,63376,habitatstcharles.org/restore.html,(636) 978-5712
"Bowling Green/Warren ReStore, HFH of",1232 Adams St,Bowling Green,US-KY,42101,www.facebook.com/habitatBG,(270) 901-0150
"Marshall County ReStore, HFH of",116 S Walnut,Plymouth,US-IN,46563,www.habitatomc.org/restore,(574) 935-4214
"Waukesha Co. ReStore, HFH of",2120 East Moreland Blvd,Waukesha,US-WI,53186,habitatwaukesha.org/restore,(262) 662-6061
"Boone County ReStore, HFH of",10650 Andrade Dr,Zionsville,US-IN,46077,www.boonehabitat.org/restore,(317) 344-3033
