Name,Address,City,State,ZIP_Code
"Anchorage ReStore, HFH",1200 W. Northern Lights Blvd,Anchorage,US-AK,99503
Victoria Tillicum ReStore,50 Burnside Road West,Victoria,CA-BC,V9A 1B5
"Whatcom Co. Store- Bellingham, HFH in",1825 Cornwall Ave,Bellingham,US-WA,98225
Wiregrass HFH ReStore,2086 Montgomery Highway,Dothan,US-AL,36303
Washington Co (FL) HFH Thrift Store,1368 N. Railroad Ave,Chipley,US-FL,32428
"Troup County ReStore, HFH",333 Main St,LaGrange,US-GA,30240
Newnan-Coweta HFH ReStore,216 Bullsboro Drive,Newnan,US-GA,30263
Alabama ReStore,3831 Pepperell Pkwy,Opelika,US-AL,36801
"Birmingham HFH ReStore, Greater",7952 Crestwood Blvd,Birmingham,US-AL,35210
Show Me Central HFH ReStore,1305 Businees Loop 70 East,Columbia,US-MO,35201
"Coosa Valley ReStore, HFH",95 Three Rivers Drive,Rome,US-GA,30161
"Tuscaloosa ReStore, HFH of",1120 35th St Ste B,Tuscaloosa,US-AL,35401
Columbus-Lowndes HFH ReStore,1110 Gardner Blvd.,Columbus,US-MS,39702
Montgomery HFH ReStore,2216 E South Blvd,Montgomery,US-AL,36116
"Morgan County ReStore, HFH of",1123 Central Pkwy SW,Decatur,US-AL,35601
Starkville HFH ReStore,206 S Jackson St,Starkville,US-MS,39759
"Madison County ReStore, HFH of",400 Pratt Ave NW,Huntsville,US-AL,35801
Shoals HFH ReStore,1120 N Royal Ave,Florence,US-AL,35630
Williamson County HFH ReStore,1725 Columbia Ave Ste 110,Franklin,US-TN,37064
Escambia Co HFH ReStore,1606 Douglas Ave,Brewton,US-AL,36426
Rutherford County Area HFH ReStore,850 Mercury Blvd,Murfreesboro,US-TN,37130
"Chattanooga ReStore, HFH of Greater",1201 E Main St,Chattanooga,US-TN,37408-1613
HFH Okaloosa County ReStore,595 Ferdon Ave N,Crestview,US-FL,32536
"Baldwin County (Daphne) ReStore, HFH of",27900 N Main St,Daphne,US-AL,36526
"Gordon County ReStore, HFH of",809 Oothcoologa St,Calhoun,US-GA,30701
Dalton/Whitfield HFH ReStore,111 N Glenwood Ave,Dalton,US-GA,30721
"Pine Belt ReStore, HFH of the",5191 Old Hwy 42,Hattiesburg,US-MS,39402
"Okaloosa County ReStore, HFH in",39 S.E. Eglin Parkway,Ft Walton Beach,US-FL,32548
"Walton County, FL, ReStore, HFH of",110 Highway 393 S,Santa Rosa Beach,US-FL,32459
Pensacola HFH ReStore,6931 N 9th Ave,Pensacola,US-FL,32504
Dickson ReStore,223 Dickson Plz Dr,Dickson,US-TN,37055
"Nashville ReStore 2, HFH of Gtr",414 Harding Place,Nashville,US-TN,37211
Rutherford County Area HFH ReStore - Smyrna,413 Nissan Blvd.,Smyrna,US-TN,37167
"Carroll County ReStore, HFH of",20765 E Main St,Huntingdon,US-TN,38344
"Jackson, TN, Area ReStore",1668 N Pkwy,Jackson,US-TN,38301
"Chattanooga ReStore Ooltewah, HFH of Greater",9408 Apison Pike,Ooltewah,US-TN,37363
Memphis ReStore,7130 Winchester Rd,Memphis,US-TN,38125
"Cleveland ReStore, HFH of",300 Grove Ave,Cleveland,US-TN,37311
"Smyrna, Habitat For Humanity ReStore","3315 S Cobb Dr, Ste 150",Smyrna,US-GA,30080
Atlanta HFH ReStore,271 Chester Ave. SE,Atlanta,US-GA,30316
Flint River HFH ReStore,2815 Old Dawson road,Albany,US-GA,31707
Arkansas Valley HFH Restore,421 Towson Ave,Fort Smith,US-AR,72901
Garland County HFH ReStore - Lake Hamilton,2817 Airport Road,Hot Springs,US-AR,71913
Garland County HFH ReStore Hot Springs Valley,3825 North Highway 7,Hot Springs Village,US-AR,71909
Washington Co. AR Habitat ReStore,1421 E 15th St,Fayetteville,US-AR,72701
Garland County HFH ReStore,350 Malvern Ave,Hot Springs,US-AR,71901
Tahlequah Area HFH ReStore Rack,12 Plaza South St,Tahlequah,US-OK,74464
Tahlequah Habitat ReStore,198 W First,Tahlequah,US-OK,74464
"Benton County ReStore, HFH of",1212 North Walton Blvd.,Bentonville,US-AR,72712
"Saline County ReStore, AR, HFH of",124 S Mkt St,Benton,US-AR,72015
"Central Arkansas ReStore- Little Rock, HFH of",6700 S University,Little Rock,US-AR,72209
"Central Arkansas ReStore- Cabot, HFH of",1900 S Pine St,Cabot,US-AR,72023
"White County ReStore, AR; HFH of",1315 W Beebe Capps Expy,Searcy,US-AR,72143
"Central Arkansas ReStore, HFH of",2657 Pike Ave,North Little Rock,US-AR,72114
"Jonesboro, HFH of Greater ReStore",3610 E. Highland Rd.,Jonesboro,US-AR,72401
"Howell County ReStore, HFH of",1109 Porter Wagoner Blvd,West Plains,US-MO,65775
"Cape Area ReStore, HFH",2365 Rust Ave,Cape Girardeau,US-MO,63701
"South Barry Co ReStore, HFH of",900 10th St.,Cassville,US-MO,65625
"Claremore ReStore 1, HFH",202 N Owalla,Claremore,US-OK,74017
"Springfield ReStore, HFH of",2410 S Scenic Ave,Springfield,US-MO,65807
"Montgomery County TN ReStore, HFH of",404 Madison St,Clarksville,US-TN,37040
"Jefferson County, MO HFH ReStore",207 North Truman Blvd,Crystal City,US-MO,63019
Lake of the Ozarks HFH ReStore,308 Keystone Business Dr,Camdenton,US-MO,65020
"Tulsa HFH, Inc. ReStore Rack",1112 S Memorial Dr.,Tulsa,US-OK,74112
Tulsa HFH ReStore,1234 S Norwood,Tulsa,US-OK,74112
St. Louis HFH Restore,3830 South Grand Blvd,St. Louis,US-MO,63118
"Tucson HabiStore, HFH",935 W Grant Rd,Tucson,US-AZ,85705
"Central Arizona ReStore-Tempe, HFH",3210 S McClintock Dr,Tempe,US-AZ,85282
"Central Arizona ReStore-Phoenix, HFH",115 East Watkins,Phoenix,US-AZ,85004
"Central Arizona ReStore- West Phoenix, HFH",4344 W Indian School Rd,Phoenix,US-AZ,85031
Wickenburg Area HFH Restore,370 W Ctr St,Wickenburg,US-AZ,85390
"Flagstaff ReStore, HFH of",2016 N 4th St,Flagstaff,US-AZ,86003
Payson Area HFH ReStore,425 N. Beeline Hwy,Payson,US-AZ,85541
"Montezuma County ReStore, HFH",6786 Highway 491/160,Cortez,US-CO,81321
Prescott Area HFH Restore,1061 Commerce Dr,Prescott,US-AZ,86305
Verde Valley HFH ReStore,737 S Main St,Cottonwood,US-AZ,86326
"La Plata Co Restore, HFH of",50 Design Center Road,Durango,US-CO,81301
"Montrose County ReStore, HFH of",1601 N Townsend Ave,Montrose,US-CO,81401
"Southwest Utah ReStore, HFH of",835 S Bluff St,George,US-UT,84770
"Mesa County ReStore, HFH of",2936 N Ave,Grand Junction,US-CO,81504
Mesilla Valley HFH Restore,2301 S Main St,Las Cruces,US-NM,88005
"El Paso, HFH of - ReStore",1220 Rojas Dr B-6,El Paso,US-TX,79935
"Las Vegas ReStore- East, HFH",3455 E Flamingo Rd,Las Vegas,US-NV,89121
Las Vegas ReStore- Boulevard Mall; HFH,3700 S Maryland Parkway,Las Vegas,US-NV,89119
Las Vegas ReStore- West; HFH,"4580 W Sahara Ave, Ste 120",Las Vegas,US-NV,89102
"Habitat Restore of Yuma, AZ",3242 E 43rd St,Yuma,US-AZ,85365
"Coachella Valley ReStore, HFH of",72680 Dinah Shore Dr #6,Palm Desert,US-CA,92211
"San Bernardino Area ReStore, HFH",25948 Business Ctr Dr,Redlands,US-CA,92374
Otero County HFH ReStore,1109 Tenth St,Alamogordo,US-NM,88310
San Diego HFH - National City ReStore,310 National City Blvd.,National City,US-CA,91950
San Diego HFH - Kearny Mesa ReStore,8108 Mercury Court,San Diego,US-CA,92111
San Diego HFH - Escondido ReStore,837 Metcalf st,Escondido,US-CA,92025
"Espanola Vly,Los Alamos ReStore 2, HFH",518 W Pueblo,Espanola,US-NM,87532
"Espanola Vly/Los Alamos ReStore, HFH",726 N Riverside Dr,Espanola,US-NM,87532
"Riverside ReStore, HFH",2180 Iowa Ave,Riverside,US-CA,92507-2441
Inland Valley HFH ReStore-Lake Elsinore,570-I Central Ave,Lake Elsinore,US-CA,92530
"Los Angeles ReStore- Bellflower, HFH of",8739 Artesia Blvd,Bellflower,US-CA,90706
"Los Angeles ReStore- Torrance, HFH of Greater",18600 Crenshaw Blvd.,Torrance,US-CA,90504
"Orange County ReStore- Anaheim, HFH of",1656 West Katella Avenue,Anaheim,US-CA,92802
"Orange County ReStore-Santa Ana, HFH of",2140 Ritchey Street,Santa Ana,US-CA,92705
Atwater Village ReStore,5201 West San Fernando Road,Los Angeles,US-CA,90039
"Los Angeles ReStore- Mid-Wilshire, HFH of Greater",1071 South La Brea Ave,Los Angeles,US-CA,90019
San Gabriel Valley HFH ReStore- Duarte,2215 Huntington Dr.,Duarte,US-CA,91010
Pomona Valley HFH ReStore,4609 Holt Blvd,Montclair,US-CA,91763
Simi Valley ReStore HFH,1293-A E Los Angeles Ave,Simi Valley,US-CA,93065
"San Jose ReStore, HFH",1608 Las Plumas Ave,San Jose,US-CA,95133
"Tulare County ReStore, HFH of",637 S Lovers Ln,Visalia,US-CA,93292
"Fresno County, HFH ReStore",1631 Railroad Ave,Clovis,US-CA,93612
HFH of Tulare/Kings Counties ReStore- Hanford,415 W Lacey Blvd.,Hanford,US-CA,93230
"Fresno County, HFH ReStore - West",4065 W. Shaw Avenue,Fresno,US-CA,93722
"Golden Empire ReStore, HFH - White Lane",5101 White Lane Suite #F,Bakersfield,US-CA,93309
"Tuolumne County ReStore, HFH of",14301 Mono Way,Sonora,US-CA,95370
"Calaveras, HFH ReStore",770A Industrial Blvd,San Andreas,US-CA,95249
"San Joaquin County ReStore, HFH of",4933 West Lane,Stockton,US-CA,95203
Sacramento HFH Restore,819 N 10th St,Sacramento,US-CA,95811
El Dorado County Restore,6168 Pleasant Vly Rd,El Dorado,US-CA,95623
"Stanislaus Co. Restore-Kearney, HFH",630 Kearney Ave,Modesto,US-CA,95350
Foothills HFH ReStore,8292 Industrial Ave,Roseville,US-CA,95678
"Concord ReStore, HFH","1500 Monument Blvd, Ste G-2",Concord,US-CA,94520
Solano-Napa ReStore HFH,104 Commerce Ct,Fairfield,US-CA,94534
"Oakland ReStore, HFH",9235 San Leandro St,Oakland,US-CA,94603
"Ventura County ReStore, HFH of",1850 Eastman Ave,Oxnard,US-CA,93030
"San Luis Obispo Co ReStore-Templeton, HFH for",2959 Limestone Way,Paso Robles,US-CA,93446
"San Luis Obispo Co ReStore, HFH for",187 Tank Farm Rd #130A,San Luis Obispo,US-CA,93401
"Northern Santa Barbara Co ReStore, HFH",2053 Preisker Ln Ste B & C,Santa Maria,US-CA,93454
"Monterey Bay, HFH - Monterey ReStore",4230 Gigling Road,Seaside,US-CA,93955
"Butte Co ReStore, HFH of",220 Meyers St,Chico,US-CA,95928
Truckee Meadows HFH ReStore,530 Greenbrae Drive,Sparks,US-NV,89431
"Yuba/Sutter ReStore, HFH",202 D Street,Marysville,US-CA,95901
Nevada County HFH ReStore,12359 Loma Rica Dr,Grass Valley,US-CA,95945
"Sonoma County ReStore, HFH of",1201 Piner Rd #500,Santa Rosa,US-CA,95403
San Diego HFH - Carlsbad ReStore,1810 Marron Road,Carlsbad,US-CA,92008
La Pine Sunriver HFH ReStore,52684 N Highway 97,La Pine,US-OR,97739
"Metro Denver ReStore- Aurora, HFH of","1640 S Abilene St, Unit H",Aurora,US-CO,80012
Metro Denver ReStore- Denver; HFH of,70 Rio Grande Blvd,Denver,US-CO,80223
Flatirons HFH ReStore,"1 Park St, Ste B",Broomfield,US-CO,80020
Metro Denver ReStore- Wheat Ridge; HFH of,10625 W I-70 Frontage Rd,Wheat Ridge,US-CO,80033
"Taos Restore, HFH of",16 State Rd 522,Taos,US-NM,87529
"Fremont County ReStore, HFH of",727 S 8th St,Canon City,US-CO,81212
Pikes Peak HFH Restore,411 S Wahsatch Ave,Colorado Springs,US-CO,80903
Greeley Area HFH ReStore,2400 29th St,Greeley,US-CO,80631
Berthoud HFH ReStore,157 Mountain Ave,Berthoud,US-CO,80513
"St. Vrain Valley ReStore, HFH of the",1351 Sherman Dr,Longmont,US-CO,80501
Loveland HFH ReStore,5250 N Highway 287,Loveland,US-CO,80538
Santa Fe HFH ReStore,2520 Camino Entrada Unit A,Sante Fe,US-NM,87507
Chaffee County HFH ReStore,101 Gregg Dr,Buena Vista,US-CO,81211
"Summit ReStore, Colorado, HFH of",1291 Blue River Pkwy,Silverthorne,US-CO,80498
"Vail Valley ReStore, HFH",751 Chambers Ave,Eagle,US-CO,81631
Blue Spruce HFH  Restore,1232 Bergen Pkwy,Evergreen,US-CO,80439
"Roaring Fork Valley ReStore, HFH of the",53 Calaway Court,Glenwood Springs,US-CO,81601
"Laramie County ReStore, HFH of",1721 Ames Ave,Cheyenne,US-WY,82001
"Utah County ReStore- Spanish Fork, HFH",253 West Arrowhead Trl,Spanish Fork,US-UT,84660
"Summit & Wasatch Counties, UT ReStore; HFH of",6280 Silver Creek Drive,Park City,US-UT,84098
"Utah County ReStore- Orem, HFH Of",340 S Orem Blvd,Orem,US-UT,84058
Salt Lake Valley HFH ReStore,1276 S 500 W,Salt Lake City,US-UT,84101
"Weber and Davis Counties ReStore-Layton, HFH of",859 W Hill Field Rd.,Layton,US-UT,84041
Wind River Country ReStore; HFH of,305 E Main St,Riverton,US-WY,82501
Amarillo HFH ReStore 1,2626 Paramount Blvd,Amarillo,US-TX,79109
"Northern Virginia Restore-Alexandria, HFH",869 South Pickett St,Alexandria,US-VA,22304
"Northern Virginia ReStore-Chantilly, HFH of",4311 Walney Rd,Chantilly,US-VA,20151
"Northern Virginia Restore-Herndon, HFH",311 Spring Street,Herndon,US-VA,20170
Habitat for Humanity ReStore - Manassas,10159 Hastings Drive,Manassas,US-VA,20110
Loudoun HFH ReStore,700 Fieldstone Drive,Leesburg,US-VA,20176
Metro Maryland ReStore,1029 East Gude Drive,Rockville,US-MD,20850
Prince William County HFH ReStore - Woodbridge,14055 Noblewood Plaza,Woodbridge,US-VA,22193
Fauquier HFH Restore,617 Frost Ave,Warrenton,US-VA,20186
ReStore NCC Wilmington DE,3312 Seminole Ave,Wilmington,US-DE,19808
Salem County ReStore HFH,416 S Pennsville-Auburn Rd,Carneys Point,US-NJ,08069
"Chester County ReStore, HFH of",1853 E Lincoln Highway,Coatesville,US-PA,19320
"Philadelphia ReStore, HFH",2318 Washington Avenue,Philadelphia,US-PA,19146
Gloucester County HFH ReStore,425 S Broadway,Pitman,US-NJ,08071
Camden County Habitat ReStore,6955 Central Highway,Pennsauken,US-NJ,08109
"Montgomery County PA ReStore, HFH of",533 Foundry Rd,Norristown,US-PA,19403
"New Castle County ReStore - Middletown, HFH of",600 N. Broad Street,Middletown,US-DE,19709
"Burlington and Mercer Co. ReStore, HFH of",530 East Route 38,Maple Shade,US-NJ,08052
"Montgomery County PA ReStore - Horsham, HFH of",200 Blair Mill Rd,Horsham,US-PA,19044
Aberdeen ReStore,1013 Beards Hill Rd,Aberdeen,US-MD,21001
Lancaster Area HFH ReStore,155 Independence Ct,Lancaster,US-PA,17601
Central Delaware HFH ReStore,2311 South DuPont Hwy,Dover,US-DE,19901
Sussex County HFH - Lewes ReStore,18501 Stamper Drive,Lewes,US-DE,19958
HFH of Worcester Co. Inc. ReStore,9026 Worcester Hwy,Berlin,US-MD,21811
"Choptank, Inc.,HFH ReStore",8610 Commerce Dr,Easton,US-MD,21601
HFH Cape May County ReStore,Restore,Cape May Court House,US-NJ,08210
"Broward ReStore, HFH of",505 W Broward Blvd,Fort Lauderdale,US-FL,33312
"South Palm Beach Co ReStore- Boca Raton, HFH of",272 S Dixie Highway,Boca Raton,US-FL,33432
"South Palm Beach County ReStore - Delray, HFH of",1900 N. Federal Highway,Delray Beach,US-FL,33483
"Upper Keys ReStore, HFH of the",98970 Overseas Highway,Key Largo,US-FL,33037
"Palm Beach Co ReStore- Greenacres, HFH of",4639 Lake Worth Rd,Greenacres,US-FL,33463
"Palm Beach Co ReStore- Jupiter, HFH of",1635 N Old Dixie Highway,Jupiter,US-FL,33469
Habitat Home Store of Collier County,11127 Tamiami Trl E,Naples,US-FL,34113
"Martin County ReStore, HFH of",2555 SE Bonita St,Stuart,US-FL,34997
Habitat ReStore of Collier County,5430 Yahl St,Naples,US-FL,34109
"Martin County ReStore North, HFH of",2090 NW Federal Hwy,Stuart,US-FL,34994
Alachua HFH ReStore,2317 SW 13th St,Gainesville,US-FL,32608-2006
Clay County HFH ReStore,1717 Blanding Blvd,Middleburg,US-FL,32068
"Seminole/ Apopka ReStore- Sanford, HFH of",1100 Americana Blvd,Sanford,US-FL,32773-8027
West Orange HFH ReStore,13369 W. Colonial Drive,Winter Garden,US-FL,34787
West Volusia HFH ReStore,604 S Sping Gdn Ave,DeLand,US-FL,32720
Southeast Volusia HFH ReStore- New Smyrna Beach,722 S Dixie Fwy,New Smyrna Beach,US-FL,32168
Lake-Sumter FL ReStore-Eustis; HFH,710 S. Bay St.,Eustis,US-FL,32726
Lake-Sumter FL ReStore-Groveland; HFH,205 Woodfield Court,Groveland,US-FL,34736
Halifax HFH ReStore,695 Mason Ave,Daytona Beach,US-FL,32114
Lake-Sumter FL ReStore-Leesburg; HFH,200 N Lone Oak Dr,Leesburg,US-FL,34748
HFH of East Polk Co ReStore - Dundee,27985 US Hwy 27,Dundee,US-FL,33838
Lake-Sumter FL ReStore-Wildwood; HFH,6761 CR 148,Wildwood,US-FL,34785
Flagler HFH ReStore,2 W Moody Blvd,Bunnell,US-FL,32110
Big Bend HFH ReStore,387-C Marpan Ln,Tallahassee,US-FL,32310
"East Polk Co ReStore, HFH of",3550 Recker Highway,Winter Haven,US-FL,33880
Lakeland HFH ReStore,1317 George Jenkins Blvd.,Lakeland,US-FL,33815
"Lee & Hendry Co ReStore- N. Fort Myers, HFH of",31 Willis Road,North Fort Myers,US-FL,33903
"Lee & Hendry Co. ReStore- S. Fort Myers, HFH of",16133 S Tamiami Trail,Fort Myers,US-FL,33908
"Lee & Hendry Co ReStore- McGregor Blvd, HFH of",15271 McGregor Blvd,Fort Myers,US-FL,33908
"Lee & Hendry Co ReStore- Bonita Springs, HFH of",9080 Bonita Beach Road,Bonita Springs,US-FL,34135
Charlotte County HFH ReSale Store- Punta Gorda,1750 Manzana Ave,Punta Gorda,US-FL,33950
Charlotte County HFH ReSale Store- Murdock,2440 Tamiami Trail,Port Charlotte,US-FL,33952
Arcadia-DeSoto County HFH ReStore,114 N Polk Ave,Arcadia,US-FL,34266
Charlotte County HFH ReSale Store- Port Charlotte,1354 El Jobean Rd,Port Charlotte,US-FL,33948
Charlotte County HFH ReSale Store- Englewood,3949 S Access Rd,Englewood,US-FL,34224
Bay County ReStore,1515 E. 11th St.,Panama City,US-FL,32401
"Camden County ReStore, HFH of",302 S Lee St,Kingsland,US-GA,31548
St. Lucie HFH ReStore 2,10185 South Federal Highway,Port Saint Lucie,US-FL,34952
Manatee County HFH ReStore,5108 15th St E,Bradenton,US-FL,34203
"Sarasota ReStore 1, HFH",2095 17th St,Sarasota,US-FL,34234
Hillsborough Co Florida ReStore - Brandon,501 W Robertson St,Brandon,US-FL,33511
"Hillsborough Co Florida ReStore, HFH of",3738 E Hillsborough Ave,Tampa,US-FL,33610
West Pasco HFH ReStore,4131 Madison St,New Port Richey,US-FL,34652
"Hernando County ReStore, HFH of",19450 Cortez Blvd,Brooksville,US-FL,34601
Hillsborough Co Florida ReStore- Silvermill,11236 West Hillsborough Ave,Tampa,US-FL,33635
"Citrus County ReStore- Inverness, HFH of",3703 E Gulf to Lake Hwy,Inverness,US-FL,34453
"Marion Co ReStore 2, HFH of",10800 SW 91st Ave,Ocala,US-FL,34481
"Jacksonville ReStore 2, HFH of",6260 103rd St.,Jacksonville,US-FL,32210
"Citrus County ReStore-Crystal River, HFH of",7800 W. Gulf to Lake Highway,Crystal River,US-FL,34429
Valdosta-Lowndes Co. ReStore HFH,2010 E Cypress,Valdosta,US-GA,31601
"Bulloch County ReStore, HFH of",201 Johnson St,Statesboro,US-GA,30458
"Effingham County ReStore, HFH of",3605 Highway 21 S,Rincon,US-GA,31326
Coastal Empire HFH ReStore,"701 MLK, Jr. Blvd",Savannah,US-GA,31405
Augusta/CSRA HFH ReStore,1004 Walton Way,Augusta,US-GA,30901
Hilton Head Regional HFH ReStore-Bluffton,18 Plantation Park Dr.,Bluufton,US-SC,29910
Augusta/CSRA HFH ReStore West,3112 Washington Road,Augusta,US-GA,30907
LowCountry HFH ReStore,612 Parris Is Gtwy,Beaufort,US-SC,29906
Aiken County HFH ReStore,1026 Park Ave SE,Aiken,US-SC,29801
Edisto HFH ReStore,260 John C Calhoun Dr,Orangeburg,US-SC,29115
Abbeville/McCormick Co HFH ReStore,205 S. Main St,McCormick,US-SC,29835
New Horizons Habitat ReStore,723 Millard Fuller Blvd.,Americus,US-GA,31709
Greenwood Area HFH ReStore,337 Maxwell Avenue,Greenwood,US-SC,29646
Greene County HFH ReStore,1373 Willow Run Rd,Greensboro,US-GA,30642
"Anderson ReStore, HFH of",210 S Murray Ave,Anderson,US-SC,29624
"Putnam ReStore, HFH of",1027 Lk Ocenee Pkwy Ste 456& 7,Eatonton,US-GA,31024
Athens Area HFH ReStore- East,532 Barber St,Athens,US-GA,30601
Franklin County HFH ReStore,11927 Augusta Rd,Lavonia,US-GA,30553
"Glynn County ReStore, HFH of",1919 Glynn Avenue,Brunswick,US-GA,31520
Lawrenceville Habitat Restore,2100 Riverside Pkwy Ste 123A,Lawrenceville,US-GA,30043
"Hall County ReStore, HFH of",2380 Murphy Boulevard,Gainesville,US-GA,30504
"Conyers-Rockdale ReStore, HFH of",1117 West Ave,Conyers,US-GA,30012
"Northeast Georgia ReStore, HFH of",1085 Rocky Br Rd,Clarkesville,US-GA,30523
Athens Area HFH ReStore- West,4125 Atlanta Highway,Athens,US-GA,30622
Central South Carolina HFH ReStore,2814 Augusta Road,Columbia,US-SC,29170
Macon Area HFH ReStore,690 Holt Ave,Macon,US-GA,31204
Sea  Island HFH ReStore,3304 Maybank Highway,Johns Island,US-SC,29455
Dorchester HFH ReStore,101 Greyback Rd,Summerville,US-SC,29483
"Fannin & Gilmer Co ReStore, HFH of",4187 E First St,Blue Ridge,US-GA,30513
Rabun County HFH Thrift Store,43 Chechero Street,Clayton,US-GA,30525
Charleston HFH ReStore,731 Meeting St,Charleston,US-SC,29403
Monroe County HFH ReStore,251 Warren St,Madisonville,US-TN,37354
East Cooper HFH ReStore,469C Long Pt Rd,Mount Pleasant,US-SC,29464
"West Hawaii ReStore, HFH - Waimea",65-1259 Kawaihae Rd.,Waimea,US-HI,96743
"Honolulu ReStore,HFH",922 Austin Lane #C-1,Honolulu,US-HI,96817
"Leeward Oahu ReStore, HFH",91-291 Kalaeloa Blvd A 6-8,Kapolei,US-HI,96707
"Maui ReStore, HFH",1162 Lower Main Street,Wailuku,US-HI,96793
Hale Aloha O Hilo HFH ReStore,863 Iolani Ave,Hilo,US-HI,96720
"Fairfield Area HFH ReStore, Greater",1903 Business Highway 34,Fairfield,US-IA,52556
Iowa Valley HFH ReStore,2401 Scott Blvd SE,Iowa City,US-IA,52240
Cedar Valley HFH Restore,350 6th Ave SE,Cedar Rapids,US-IA,52401
"Des Moines HFH ReStore, Greater",2200 E Euclid,Des Moines,US-IA,50317
"Quad Cities ReStore, HFH",3629 Mississippi Ave,Davenport,US-IA,52807
Urbandale ReStore,4033 NW Urbandale Dr,Urbandale,US-IA,50322
Iowa Heartland HFH Restore,4107 Hammond Ave,Waterloo,US-IA,50701
"Peoria Area ReStore- University, HFH Greater",4912 N University St,Peoria,US-IL,61614
"North Central Iowa ReStore, HFH of",517 1st St NW,Mason City,US-IA,50401
Siouxland HFH Restore,1150 TriView Ave,Sioux City,US-IA,51103
"Dane County ReStore West, HFH of",5906 Odana Rd,Madison,US-WI,53719
La Crosse Area HFH ReStore,3181 Berlin Drive,La Crosse,US-WI,54601
"Winona Restore, HFH-",900 W 3rd St,Winona,US-MN,55987
Rochester Area HFH ReStore,3034 40th Avenue NW,Rochester,US-MN,55901
"Adams County ReStore, HFH of",N 3696 Highway 12/16,Mauston,US-WI,53948
"St. Joseph ReStore, HFH",3131 Frederick Ave,Saint Joseph,US-MO,64506
HFH of Kansas City Restore- North Kansas City,8516 North Oak Traffic way,Kansas City,US-MO,64155
"Truman Heritage ReStore, HFH",505 North Dodgion Ave,Independence,US-MO,64050
HFH of Kansas City Restore-Deramus,4701 Deramus Ave,Kansas City,US-MO,64120
Truman Heritage HFH ReStore- Blue Springs,1219 NW 7 Highway,Blue Springs,US-MO,64014
Rockford Area HFH ReStore,7141 Harrison Ave,Rockford,US-IL,61112
"Dane County ReStore East, HFH of",4207 Monona Dr,Madison,US-WI,53716
HFH of McHenry County ReStore,133 S. Eastwood Dr.,Woodstock,US-IL,60098
"Omaha ReStore- West, HFH of",10910 Emmet St,Omaha,US-NE,68164
"Omaha ReStore- South, HFH of",1003 S 24th St,Omaha,US-NE,68108
"South Central Minnesota ReStore, HFH of",1730 Bassett Dr.,Mankato,US-MN,56001
Chippewa Valley ReStore HFH,145 N. Clairemont Avenue,Eau Claire,US-WI,54703
Twin Cities HFH ReStore - Minneapolis,2700 Minnehaha Av S,Minneapolis,US-MN,55406
HFH of Kansas City Restore-Johnson County,8722 Santa Fe Dr.,Overland Park,US-KS,66212
