Name,Address,City,State,ZIP_Code
Gateway HFH ReStore,2400 Garrett Way,Pocatello,US-ID,83201
"Idaho Falls Area ReStore, HFH",1954 N. Yellowstone Hwy.,Idaho Falls,US-ID,83401
"Magic Valley Restore, HFH of the",639 Eastland Dr South,Twin Falls,US-ID,83301
"Teton Area ReStore, HFH of the Greater",850 W Broadway Suite D,Jackson,US-WY,83001
Cache Valley Habitat ReStore,46 1/2 east 200 South,Logan,US-UT,84321
"Weber and Davis Counties ReStore, HFH of",3111 Wall Ave,Ogden,US-UT,84404
BVHFH ReStore Collister Center,4716 W State Street,Boise,US-ID,83703
Boise Valley HFH Restore,10537 W Overland Rd,Boise,US-ID,83709
Lewiston-Clarkston Partners HFH ReStore,1633 G St,Lewiston,US-ID,83501
Palouse HFH ReStore,304 N Main St,Moscow,US-ID,83843
"North Idaho ReStore, HFH",176 W Wyoming Ave,Hayden,US-ID,83835
"Spokane Store, HFH of",1805 East Trent Ave,Spokane,US-WA,99202
"Ravalli Co. ReStore, HFH of",131 Old Corvallis Rd.,Hamilton,US-MT,59840
Canyon County HFH ReStore,1404 1st Street South,Nampa,US-ID,83651
Grande Ronde Valley HFH ReStore,2304 E R Ave,La Grande,US-OR,97850
Tri-County Partners HFH Store,309 Wellsian Way,Richland,US-WA,99352
"Gallatin Valley ReStore, HFH of",230 Arden Dr,Belgrade,US-MT,59714
Mountain Spirit HFH ReStore,509 Gateway Dr,Powell,US-WY,82435
Mountain Spirit HFH ReStore- 2,265 N. Bent St,Powell,US-WY,82435
Helena Area HFH Restore,1531 National Ave,Helena,US-MT,59601
"Mid-Yellowstone Valley ReStore, HFH",685 King Park Dr,Billings,US-MT,59102
Jefferson County HFH ReStore,84 SW K St,Madras,US-OR,97741
Idaho Panhandle HFH Restore,1519 Baldy Park Road,Sandpoint,US-ID,83864
"Colville Valley Partners Store, HFH-",480 N Main St,Colville,US-WA,99114
"Flathead Valley ReStore, HFH of",2533 US Highway 93 South,Kalispell,US-MT,59901
Lake Chelan Valley HFH Store,518 E Woodin Ave,Chelan,US-WA,98816
Upper Columbia Basin HFH Store,223 2nd Ave SE,Quincy,US-WA,98848
Bend Area HFH ReStore,244 NE Thurston,Bend,US-OR,97701
McLean County Restore,1402 W Washington St,Bloomington,US-IL,61701-4714
"DeWitt County ReStore , HFH",401 E Washington St,Clinton,US-IL,61727
"Peoria Area ReStore  East Peoria, HFH Greater",110 Carver Lane,East Peoria,US-IL,61611
Lewis & Clark HFH ReStore,1950 Vandalia St.,Collinsville,US-IL,62234
DuPage HFH ReStore- Addison,869 S Rohlwing Rd (Rte 53),Addison,US-IL,60101
"Chicago ReStore, HFH",6040 N Pulaski,Chicago,US-IL,60646
DuPage HFH ReStore- Aurora,4100 Fox Vly Ctr Dr,Aurora,US-IL,60504
"Northern Fox Valley ReStore, HFH of",800 N State St,Elgin,US-IL,60123
Will County HFH ReStore,1395 Larkin Avenue,Joliet,US-IL,60435
McHenry ReStore,903 Front St,McHenry,US-IL,60050
"Henderson ReStore, HFH of",1030 Third Street,Henderson,US-KY,42420
"Evansville, HFH of - ReStore",1301 N. Royal Ave,Evansville,US-IN,47715
"Warrick County ReStore, HFH of",10622 Telephone Rd,Chandler,US-IN,47610
Coles County HFH ReStore,520 W Lincoln Ave,Charleston,US-IL,61920
"Dubois County ReStore, HFH of",4232 S. 170 E.,Huntingburg,US-IN,47542
"Pennyrile Region, Inc. ReStore, HFH",43 S Daves St,Madisonville,US-KY,42431
"Moultrie County ReStore, HFH",401 S Hamilton,Sullivan,US-IL,61951
Wabash Valley HFH ReStore,1831 Wabash Ave,Terre Haute,US-IN,47807
"Monroe County ReStore, HFH of",850 S Auto Mall Rd,Bloomington,US-IN,47401
"Danville ReStore,HFH of",422 N Vermilion S,Danville,US-IL,61832
"Champaign County ReStore, HFH of",119 E University Ave,Champaign,US-IL,61824
Decatur Area HFH ReStore,932 E Wood St.,Decatur,US-IL,62521
Indianapolis ReStore - Avon,1099 N Avon Ave,Avon,US-IN,46123
"Lafayette ReStore, HFH of",3815 Fortune Dr,Lafayette,US-IN,47905
"Harrison County ReStore, HFH of",478 South Capitol Ave,Corydon,US-IN,47112
"Chicago South Suburbs ReStore, HFH",180 W Joe Orr Rd,Chicago Heights,US-IL,60411
"Northwest Indiana ReStore, HFH of",6114 W. Ridge Road,Gary,US-IN,46408
"Northwest Indiana ReStore, HFH of - Merrillville",3823 E Lincoln Hwy,Merrillville,US-IN,46410
"St. Charles Co ReStore, HFH of",186 Mid Rivers Center,Saint Charles,US-MO,63376
"Boone County ReStore, HFH of",10650 Andrade Dr,Zionsville,US-IN,46077
"Bowling Green/Warren ReStore, HFH of",1232 Adams St,Bowling Green,US-KY,42101
"Marshall County ReStore, HFH of",116 S Walnut,Plymouth,US-IN,46563
"Waukesha Co. ReStore, HFH of",2120 East Moreland Blvd,Waukesha,US-WI,53186
"Elkhart County ReStore, HFH of",2910 Elkhart Road,Goshen,US-IN,46526
"St. Joseph County ReStore-South Bend, HFH of",2411 South Main St,South Bend,US-IN,46614
Fort Wayne HFH ReStore,4747 Lima Rd.,Fort Wayne,US-IN,46808
"St. Joseph County ReStore-Mishawaka, HFH of",5225 Grape Rd,Mishawaka,US-IN,46545
"Muncie Indiana HFH ReStore, Greater",4640 W. Bethel Ave.,Muncie,US-IN,47304
"Hamilton County ReStore, HFH",7998 Centerpoint Dr.,Indianapolis,US-IN,46256
Metro Louisville ReStore-Portland,1631 Rowan St,Louisville,US-KY,40203
"Metro Louisville ReStore - Hikes Point, HFH of",4044 Taylorsville Rd,Louisville,US-KY,40220
"Heart of Madison HFH, Inc. ReStore",931 Lanier Dr,Madison,US-IN,47250
Preble County HFH ReStore,131 N Barron St,Eaton,US-OH,45320
Raintree HFH ReStore,605 New York Avenue,New Castle,US-IN,47362
HFH of Grt Cincinnati ReStore - Fairfield,4655 Dixie Highway,Fairfield,US-OH,45014
HFH of Greater Indianapolis ReStore- Greenfield,1141 W. US 40,Greenfield,US-IN,46140
"Johnson County ReStore, HFH of",6720 N US 31,Whiteland,US-IN,46184
"Indianapolis ReStore, HFH of Greater",1011 E 22nd St,Indianapolis,US-IN,46202
Branch County HFH ReStore,255 Division Street,Coldwater,US-MI,49036
Kalamazoo HFH ReStore,7612 South Westnedge Avenue,Portage,US-MI,49002
Battle Creek Area HFH ReStore,595 North Avenue,Battle Creek,US-MI,49017
"Jackson HFH Restore, Greater",251 W. Prospect St.,Jackson,US-MI,49203
Harbor HFH ReStore,2302 Plaza Drive,Benton Harbor,US-MI,49022
Hardin County HFH ReStore,2816 Ring Road,Elizabethtown,US-KY,42701
Lexington HFH ReStore,451 Southland Dr,Lexington,US-KY,40503
"Miami County ReStore, HFH of",1490 W. Main St.,Troy,US-OH,45373
"Lenawee County ReStore, HFH of",1025 East US Hwy 223,Adrian,US-MI,49221
Maumee Valley HFH ReStore,1310 Conant St,Maumee,US-OH,43537
Barry County ReStore,1215 N. Broadway St,Hastings,US-MI,49058
"Huron Valley ReStore, HFH of",6241 Jackson Rd.,Ann Arbor,US-MI,48103
Glasgow-Barren County HFH ReStore,506 W Main St,Glasgow,US-KY,42141
Wichita HFH ReStore,601 N West St Ste 100,Wichita,US-KS,67203
"Ellis Co ReStore, HFH of",2918 Vine ST,Hays,US-KS,67601
Ponca City Habitat ReStore,117 West Central,Ponca City,US-OK,74601
Manhattan Area HFH Restore,514 Pillsbury Drive,Manhattan,US-KS,66502
Marshall County W/R,2006 Ctr St,Marysville,US-KS,66508
Topeka HFH ReStore,121 NE Gordon Street,Topeka,US-KS,66608
Lawrence HFH Restore,708 Connecticut St,Lawrence,US-KS,66044
Lincoln/Lancaster County HFH ReStore,4630 Y Street,Lincoln,US-NE,68503
HFH of Kansas City Restore- Martin City,13531 Wyandotte St,Kansas City,US-MO,64145
Grand Island Area ReStore HFH,3204 College St,Grand Island,US-NE,68803
Central Oklahoma HFH ReStore 2,4900 S. High Avenue,Oklahoma City,US-OK,73103
Central Oklahoma HFH ReStore 1,1800 N Broadway Ave,Oklahoma City,US-OK,73103
"Sumner County ReStore, HFH of",327 Sumner Hall Dr,Gallatin,US-TN,37066
Upper Cumberland HFH Restore,728 E 15th St,Cookeville,US-TN,38501
"Wilson County ReStore, HFH of",606 E Main St,Lebanon,US-TN,37087
Appalachia HFH ReStore - Oneida,215 East Bilbrey Street,Oneida,US-TN,37841
Bellevue-HFH of Grt Cincinnati ReStore,15 Donnermeyer Dr,Bellevue,US-KY,41073
"Madison & Clark Counties ReStore, HFH of",830 Eastern By-Pass,Richmond,US-KY,40475
Campbell County HFH ReStore,106 East Central Street,La Follette,US-TN,37766
Madison & Clark Counties ReStore- Winchester,1946 Bypass Rd.,Winchester,US-KY,40391
Huntington Area ReStore HFH,240 3rd Ave,Huntington,US-WV,25701
Kanawha & Putnam County ReStore - Teays Valley,3554 Teays Valley Road,Hurricane,US-WV,25526
Kanawha & Putnam County Restore,301 Piedmont Rd,Charleston,US-WV,25301
"Southeast Ohio ReStore, HFH of",309 W. Union St.,Athens,US-OH,45701
Holston HFH ReStore,750 East Main St,Kingsport,US-TN,37660
"Mid-Ohio Valley ReStore, HFH of the",600 16th Street,Vienna,US-WV,26105
Holston HFH Johnson City ReStore,3201 Kimberly Ct,Johnson City,US-TN,37604
Almost Heaven HFH ReStore,1431 North Jefferson Street,Lewisburg,US-WV,24901
Habitat Restore of Boone NC,1200 Archie Carroll Road,Boone,US-NC,28607
"New River Valley ReStore; HFH, Inc., of The",1675 North Franklin St,Christiansburg,US-VA,24073
Knoxville HFH ReStore,1511 Downtown West Blvd,Knoxville,US-TN,37919
Avery Co HFH ReStore,2170 Millers Gap Highway,Newland,US-NC,28657
Bond Hill- HFH of Grt Cincinnati Restore Central,4910 Para Dr,Cincinnati,US-OH,45237
Asheville Habitat ReStore- Weaverville,61 Weaver Blvd,Weaverville,US-NC,28787
Lafayette HFH ReStore,3123 1/2 Johnston St,Lafayette,US-LA,70503
"Southeast Baton Rouge, Habitat ReStore",10300 Perkins Road,Baton Rouge,US-LA,70810
"Greater Baton Rouge Restore, HFH of",4301 Airline Highway,Baton Rouge,US-LA,70805
Bayou Area HFH ReStore,509 Saint Mary St,Thibodaux,US-LA,70301
"Jefferson County ReStore, HFH of",610 Trinity,Beaumont,US-TX,77701
New Orleans Area HFH ReStore- Kenner,2425 Williams Blvd.,Kenner,US-LA,70062
New Orleans Area HFH ReStore,2900 Elysian Flds Ave,New Orleans,US-LA,70122
"St. Tammany West ReStore, HFH",1400 North Ln,Mandeville,US-LA,70471
Bay Area HFH ReStore,1101 W Nasa Parkway,Webster,US-TX,77598
Houston HFH ReStore,6161 S Loop E,Houston,US-TX,77087
"Mississippi Gulf Coast ReStore, HFH of the",8022 Hwy 49,Gulfport,US-MS,39501
"MS Gulf Coast ReStore- Ocean Springs, HFH of the",3176 Bienville Blvd,Ocean Springs,US-MS,39564
Montgomery County TX HFH ReStore,9407 SH 242,Conroe,US-TX,77385
Houston HFH ReStore- West,5280 W 34th St,Houston,US-TX,77092
"Northwest Harris Co ReStore, HFH of",13350 Jones Rd,Houston,US-TX,77070
Fort Bend HFH ReStore,505 Julie Rivers Dr.,Sugarland,US-TX,77478
"Southern Brazoria Co ReStore, HFH of",12 Circle Way,Lake Jackson,US-TX,77566
Patuxent HFH Restore,21600 Great Mills Rd,Lexington Park,US-MD,20653
"Fredericksburg HFH ReStore, Greater",2378 Plank Road,Fredericksburg,US-VA,22401
Hanover HFH ReStore,9159 Atlee Road,Mechanicsville,US-VA,23116
"Chesapeake ReStore-Baltimore, HFH of the",505 Kane St,Baltimore,US-MD,21224
"Chesapeake ReStore- Timonium, HFH of the",7 W. Aylesbury Rd.,Timonium,US-MD,21093
"Chesapeake ReStore-Sandtown, HFH of the",1300 N Fulton Ave,Baltimore,US-MD,21217
"Chesapeake ReStore-Glen Burnie, HFH of the",595 E. Ordnance Road,Glen Burnie,US-MD,21060
"Chesapeake ReStore- Halethorpe, HFH of the",3741 Commerce Dr Ste 311,Baltimore,US-MD,21227
"Chesapeake ReStore- Columbia, HFH of the",8909 McGaw Ct,Columbia,US-MD,21045
Mon Valley HFH ReStore,1825 Earl L Core Rd,Morgantown,US-WV,26505
Washington Co ReStore HFH,1001 East Maiden St,Washington,US-PA,15301
"Pittsburgh ReStore, HFH Greater",1913 Monongahela Ave,Pittsburgh,US-PA,15218
"Frederick County ReStore, HFH of",917 N East Street,Frederick,US-MD,21701
Washington County HFH ReStore,100 Charles St,Hagerstown,US-MD,21740
Blue Ridge HFH Inc. ReStore,400 Battaile Drive,Winchester,US-VA,22601
"Franklin County ReStore, HFH of",1662 Lincoln Way East,Chambersburg,US-PA,17202
"Harrisburg Area, HFH of the Grt ReStore",800 Paxton Street,Harrisburg,US-PA,17104
Eastern Shore of Virginia HFH ReStore,3271 Main St,Exmore,US-VA,23350
"Grand Traverse Region ReStore, HFH",2487 Rice Street,Traverse City,US-MI,49684
"Kent County ReStore North, HFH of",5920 Alpine Ave NW,Comstock Park,US-MI,49321
"Kent County ReStore South, HFH of",5701 S Division,Wyoming,US-MI,49548
Montcalm County HFH ReStore,124 W Grove St,Greenville,US-MI,48838
Lakeshore HFH ReStore,12727 Riley St.,Holland,US-MI,49424
Tri-Cities Area HFH ReStore,408 N. Ferry St.,Grand Haven,US-MI,49417
"Clinton County ReStore, HFH of",2352 N US 27,Saint Johns,US-MI,48879
"Lansing ReStore, HFH",1941 Benjamin Dr.,Lansing,US-MI,48906
Livingston County HFH ReStore,7198 Grand River,Brighton,US-MI,48114-9347
"Ingham ReStore, HFH of Gtr",954 East Grand River Road,Williamston,US-MI,48895
Macomb County  HFH ReStore,46660 Van Dyke,Shelby Charter Township,US-MI,48317
"Oakland Co ReStore, HFH of",3653 Highland Rd.,Waterford,US-MI,48328
"Lapeer Co ReStore, HFH of",1633 N. Lapeer Road,Lapeer,US-MI,48446
Macomb County ReStore,23211 VanDyke,Warren,US-MI,48089
"Oakland Co ReStore - Farmington, HFH",28575 Grand River Ave,Farmington Hills,US-MI,48336
Genesee County HFH ReStore,101 Burton St.,Flint,US-MI,48503
Blue Water HFH ReStore,3524 Pine Grove Ave,Port Huron,US-MI,48060
"Lapeer-Tuscola ReStore- Caro, HFH of",1521 W Caro Rd,Caro,US-MI,48723
"Findlay/Hancock County ReStore, HFH of",1200 Commerce Pkwy,Findlay,US-OH,45840
Cheboygan County HFH ReStore,9385 N Straits Highway,Cheboygan,US-MI,49721
Northwest Michigan HFH ReStore,1840 M 119,Petoskey,US-MI,49770
Copper Country HFH ReStore,25971 Pine St.,Calumet,US-MI,49913
Copper Country HFH ReStore- Atlantic Mine,47298 Highway M-26,Atlantic Mine,US-MI,49905
Marquette County HFH ReStore,133 Carmen Dr,Marquette,US-MI,49855
"Menominee River ReStore, HFH",113 S Milwaukee St,Kingsford,US-MI,49802
"HiawathaLand, Inc. ReStore; HFH",401 Deer St,Manistique,US-MI,49854
"Sawyer County ReStore, HFH of",10191N Greenwood Lane,Hayward,US-WI,54843
Door County HFH ReStore,410 N 14th Ave,Sturgeon Bay,US-WI,54235
Wild Rivers HFH ReStore- Spooner,1357 North River Street,Spooner,US-WI,54801
Greater Green Bay HFH ReStore,1967 Allouez Avenue,Green Bay,US-WI,54311
North Star HFH ReStore,400 Sheridan Ave.,Sault Sainte Marie,US-MI,49783
Bay County HFH ReStore,519 Washington Ave.,Bay City,US-MI,48708
Saginaw HFH ReStore,315 W. Holland Ave.,Saginaw,US-MI,48602
Ogemaw HFH ReStore,116 South 5th,West Branch,US-MI,48661
Gladwin HFH ReStore,117 W Brown St.,Beaverton,US-MI,48612
Roscommon County HFH ReStore,1861 W Houghton Lk Dr,Prudenville,US-MI,48651
Lake County HFH ReStore,9733 S M-37,Baldwin,US-MI,49304
Alpena Area HFH Restore,2118 Werth Road,Alpena,US-MI,49707
"Fox Cities Area HFH ReStore West, Greater",5402 W. Integrity Way,Appleton,US-WI,54913
"Fox Cities Area HFH ReStore, Greater",3000 E College Ave,Appleton,US-WI,54915
Oshkosh HFH ReStore,1640 S Koeller St,Oshkosh,US-WI,54902
"Mason County ReStore, HFH of",3408 W. U.S. 10,Ludington,US-MI,49431
HFH ReStore Owosso,1494 N M-52,Owosso,US-MI,48867
Wild Rivers HFH ReStore- Saint Croix,2201 US Highway 8,Saint Croix Falls,US-WI,54024
Itasca County HFH ReStore,510 SE 11th Street,Grand Rapids,US-MN,55744
Firelands HFH ReStore,7602 Milan Rd,Sandusky,US-OH,44870
"Lakeside ReStore-Sheboygan, HFH",1911 N 8th St,Sheboygan,US-WI,53081
Milwaukee HFH ReStore East,420 S. 1st,Milwaukee,US-WI,53204
Twin Cities HFH ReStore,510 County Road D West,New Brighton,US-MN,55112
"West Central Minnesota ReStore, HFH of",2424 South 1st Street,Willmar,US-MN,56201
Lakes Area HFH Restore,1110 Wright St,Brainerd,US-MN,56401
Northwoods HFH ReStore,1357 Exchange Ave. SE,Bemidji,US-MN,56601
"Douglas Co. MN ReStore, HFH of",1211 N Nokomis NE,Alexandria,US-MN,56308
"Redwood River MN, Inc. ReStore, HFH",300 North Highway 59,Marshall,US-MN,56258
Brookings Area HFH ReStore,917 W Highway 14 Byp,Brookings,US-SD,57006
River City HFH ReStore,1420 Crk Trl Dr,Jefferson City,US-MO,65109
"Eastern Bighorns ReStore, HFH of the",1141 Crook St,Sheridan,US-WY,82801
Black Hills Area HFH ReStore- Spearfish,2915 E Colorado Blvd,Spearfish,US-SD,57783
Black Hills Area HFH ReStore - Rapid City,610 E Omaha St,Rapid City,US-SD,57701
"Greensboro ReStore- North, HFH of Greater",2190 Lawndale Dr,Greensboro,US-NC,27408
"Sandhills ReStore, HFH of the NC",2268 Highway NC 5,Aberdeen,US-NC,28315
"Sandhills ReStore #2, HFH of the NC",1300 E Broad Ave Ste 17,Rockingham,US-NC,28379
"Hometown HFH ReStore, Inc.- Jonesville",225 Bridge Street,Jonesville,US-NC,28642
"Hometown HFH ReStore, Inc.- Wilkesboro",320 Cothren St,Wilkesboro,US-NC,28697
"Mount Airy Area HFH ReStore, Greater",217 S. South Street,Mount Airy,US-NC,27030
Alexander County HFH ReStore,176 Westgate Drive,Taylorsville,US-NC,28681
HFH of Forsyth County ReStore - Lewisville,6499 Shallowford Rd.,Lewisville,US-NC,27023
"Charlotte Region ReStore - Statesville, HFH of",1885 East Broad Street,Statesville,US-NC,28625
Davie County HFH ReStore,124 Wilkesboro St.,Mocksville,US-NC,27028
Caldwell County HFH ReStore,1216 Harper Ave,Lenoir,US-NC,28645
Southampton/Franklin HFH ReStore,109 W First Ave,Franklin,US-VA,23851
Chowan-Perquimans HFH Restore,1370 N Broad St,Edenton,US-NC,27932
Halifax/Northampton HFH ReStore,1152 Highway 48,Roanoke Rapids,US-NC,27870
Emporia-Greensville HFH ReStore,208 E Atlantic St,Emporia,US-VA,23847
Rocky Mount Area HFH ReStore,1400 Raleigh Rd,Rocky Mount,US-NC,27803-0064
"Alamance County ReStore, HFH of",1176 N Church St,Burlington,US-NC,27217
"Alamance County ReStore - Mebane, HFH of",1288 S. 5th St.,Mebane,US-NC,27302
"Macon/ Jackson NC, HFH- Sylva ReStore",150 E Sylva Shopping Center,Sylva,US-NC,28779
Stanly County HFH ReStore,1506 NC Highway 24/27 W,Albemarle,US-NC,28001
"Cabarrus County ReStore, HFH",2902 S Cannon Blvd,Kannapolis,US-NC,28083
"Rowan County ReStore, HFH of",1707 S Main St,Salisbury,US-NC,28144
Union-Anson Co HFH- Wadesboro ReStore,222 North Greene St,Wadesboro,US-NC,28170
"Charlotte Region ReStore - University City, HFH of",8104 University City Blvd,Charlotte,US-NC,28213
Union County HFH Restore- Roosevelt Blvd,2520 W Roosevelt Blvd,Monroe,US-NC,28110
Goldsboro-Wayne Home Store,124 E Mulberry St,Goldsboro,US-NC,27530
Jacksonville ReStore,1200 Gum Br Rd,Jacksonville,US-NC,28540
Cape Fear HFH - Burgaw ReStore,115 W Fremont Street7,Burgaw,US-NC,28425
"Harnett Co Home Store, HFH of",101 West Harnett Street,Dunn,US-NC,28334
Wilson Area HFH ReStore,626 Ward Blvd,Wilson,US-NC,27893
Rutherford County HFH ReStore #2,269 West Main St,Forest City,US-NC,28043
Rutherford County HFH ReStore,686 W Main St,Forest City,US-NC,28043
"Cleveland County ReStore, HFH in",323 W Grover St,Shelby,US-NC,28150
Thermal Belt HFH Restore,132 N Trade Ave,Landrum,US-SC,29356-1529
"Spartanburg ReStore, HFH of",2270 S Pne St,Spartanburg,US-SC,29302
Henderson County HFH ReStore 2,230 S Washington St,Hendersonville,US-NC,28739
Henderson County HFH ReStore 1,222 W Barnwell St,Hendersonville,US-NC,28739
"Burke County ReStore, HFH of",111 Independence Blvd,Morganton,US-NC,28655
"Greenville County ReStore #2, HFH of",3033 Wade Hampton Blvd.,Taylors,US-SC,29687
Lincoln County ReStore,1555 N. Aspen St,Lincolnton,US-NC,28092
HFH ReStore of Lincoln County- Denver,2128 North Highway 16,Denver,US-NC,28037
"Catawba Valley ReStore, HFH of",1615 8th St Dr SE,Hickory,US-NC,28602
"Charlotte Region ReStore - Mooresville, HFH of",121 Norman Station Blvd,Mooresville,US-NC,28117
"High Point, Archdale & Trinity ReStore; HFH of",133 Montlieu Ave,High Point,US-NC,27262
"Pamlico Co ReStore, HFH of",14172 Highway 55 West,Bayboro,US-NC,28515-9111
"Craven County ReStore, HFH of",930 Pollock St,New Bern,US-NC,28562
Crystal Coast HFH ReStore-Newport,5898 Highway 70 W,Newport,US-NC,28570
Danville & Pittsylvania Co HFH ReStore,2805 Riverside Dr Ste J,Danville,US-VA,24540
"Charlotte Region ReStore - Cornelius, HFH of",20414 N Main St,Cornelius,US-NC,28031
"Lexington Area ReStore, HFH of the",221 S. Main St.,Lexington,US-NC,27292
Fuquay-Varina ReStore,1352 N Main St,Fuquay- Varina,US-NC,27526
"Wake County ReStore- Clayton, HFH of",11639 US HWY 70 Business West,Clayton,US-NC,27520
"Wake County ReStore- Apex, HFH of",826 E Williams St,Apex,US-NC,27502
"Wake County ReStore, Cary; HFH of",181 High House Rd,Cary,US-NC,27511
"Wake County ReStore, HFH of",2420 North Raleigh Blvd,Raleigh,US-NC,27604
"Sanford ReStore, HFH",413 Wicker St.,Sanford,US-NC,27330
Wake County ReStore Glenwood,8009 Glenwood Ave.,Raleigh,US-NC,27612
Fayetteville Area HFH ReStore,3833 Bragg Blvd,Fayetteville,US-NC,28303
Chatham HFH ReStore 2,425 West St,Pittsboro,US-NC,27312
Union County HFH ReStore (2),1 Vlg Park,Cheraw,US-SC,29520
Matthews ReStore,2447 E. John Street,Matthews,US-NC,28105
"Charlotte Region ReStore - Wendover, HFH of",1133 N Wendover Rd,Charlotte,US-NC,28211
"Wake County ReStore- Morrisville, HFH of",2121 TW Alexander Dr,Morrisville,US-NC,27560
Habitat ReStore serving Durham & Orange Counties,5501 Durham Chapel Hl Blvd,Durham,US-NC,27707
Chatham HFH ReStore,467 W St,Pittsboro,US-NC,27312
"Wake County ReStore- Hillsborough, HFH of",672 N. Churton Street,Hillsborough,US-NC,27278
Wake Forest ReStore HFH,12253 Capital Blvd,Wake Forest,US-NC,27587
Henderson County HFH ReStore- Fletcher,2712 Hendersonville Rd,Arden,US-NC,28704
Brunswick County HFH ReStore-Ocean Isle Beach,6560 Bch Dr,Ocean Isle Beach,US-NC,28469
Haywood HFH ReStore,331 Walnut Street Suite 1,Waynesville,US-NC,28786
Transylvania HFH Restore,690 Ecusta Rd,Brevard,US-NC,28712
"Charlotte Region ReStore - Wilkinson, HFH of",3326 Wilkinson Blvd,Charlotte,US-NC,28208
"Charlotte Region ReStore - Pineville, HFH of",11812 Carolina Pl Pkwy,Pineville,US-NC,28134
"York County, HFH Lake Wylie ReStore",4084 Charlotte Highway,Lake Wylie,US-SC,29710
"South Hampton Roads ReStore-Virginia Beach, HFH of",955 Providence Sq Shopping Ctr,Virginia Beach,US-VA,23464
"South Hampton Roads ReStore-Norfolk, HFH of",900 Tidewater Dr,Norfolk,US-VA,23504
"Peninsula & Williamsburg ReStore- Newport, HFH",371 Chatham Drive,Newport News,US-VA,23602
Gloucester-Mathews ReStore,4910 George Washington Highway,Hayes,US-VA,23072
"Peninsula & Williamsburg ReStore, HFH",1303 Jamestown Rd,Williamsburg,US-VA,23185
Kernersville ReStore,619 N Main St,Kernersville,US-NC,27284
Granville County HFH ReStore,"900 Williamsboro St, Unit 121",Oxford,US-NC,27565
Warren County HFH ReStore,2472 US Highway 158 E,Macon,US-NC,27551
Cape Fear Habitat ReStore- Downtown,1208 S 3rd St,Wilmington,US-NC,28401-6108
"York County SC ReStore, HFH",825 N Anderson Rd,Rock Hill,US-SC,29730
"Greenville County ReStore #3, HFH of",1659 Woodruff Rd,Greenville,US-SC,29607
"Blount County ReStore, HFH of",548 Foothills Plz Rd,Maryville,US-TN,37801
    